Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-04-16,1717.84,1738.75,1708.6,1717.7
2020-04-17,1717.64,1718.61,1680.61,1684.1
2020-04-20,1682.59,1702.975,1672.12,1696.05
2020-04-21,1696.475,1697.95,1660.86,1686.1
2020-04-22,1688.49,1718.93,1680.59,1714.12
2020-04-23,1713.94,1738.74,1707.9,1730.33
2020-04-24,1730.53,1736.5,1710.79,1728.03
2020-04-27,1728.52,1728.52,1706.09,1714.135
2020-04-28,1713.255,1716.17,1692.4,1708.08
2020-04-29,1708.59,1717.69,1698.11,1713.32
2020-04-30,1714.05,1721.25,1681.05,1686.855
2020-05-01,1686.93,1705.4,1670.59,1699.23
2020-05-04,1701.92,1714.45,1692.07,1701.74
2020-05-05,1701.07,1712.22,1690.84,1705.93
2020-05-06,1706.04,1708.1,1683.21,1685.78
2020-05-07,1683.73,1722.12,1683.38,1715.94
2020-05-08,1717.12,1723.33,1701.83,1707.15
2020-05-11,1702.03,1712.38,1692.45,1698
2020-05-12,1697.26,1711.03,1694.04,1702.82
2020-05-13,1702.26,1718.21,1699.31,1715.08
2020-05-14,1716.515,1736.35,1711.25,1730.22
2020-05-15,1730.43,1751.16,1728.83,1742.98
2020-05-18,1746.2,1765.12,1727.7,1732.275
2020-05-19,1732.54,1748.01,1726.5,1745.07
2020-05-20,1745.91,1754.08,1742.89,1748.32
2020-05-21,1747.92,1748.83,1717.36,1727.38
2020-05-22,1727.32,1739.94,1724.58,1735.38
2020-05-25,1733.7,1735.58,1722.42,1730.68
2020-05-26,1728.84,1735.43,1708.44,1711.13
2020-05-27,1710.75,1716.14,1693.82,1709.4
2020-05-28,1711.29,1727.13,1707.29,1718.64
2020-05-29,1719.05,1737.59,1712.98,1731.5
2020-06-01,1736.49,1744.67,1728.47,1739.58
2020-06-02,1738.97,1745.09,1721.69,1727.76
2020-06-03,1727.8,1731.99,1689.5,1699.75
2020-06-04,1700.42,1721.65,1697.27,1714.09
2020-06-05,1715.26,1716.41,1671.03,1681.82
2020-06-08,1684.24,1700.65,1677.74,1698.47
2020-06-09,1698.16,1720.88,1692.54,1715.28
2020-06-10,1713.9,1740.05,1708.34,1737.76
2020-06-11,1737.94,1744.81,1721.82,1727.12
2020-06-12,1727.795,1743,1722.5,1731.37
2020-06-15,1733.4,1734.13,1704.48,1725.11
2020-06-16,1725.15,1732.87,1717.17,1726.72
2020-06-17,1726.26,1730.26,1713.38,1726.82
2020-06-18,1726.33,1737.55,1717.75,1722.82
2020-06-19,1722.2,1745.2,1721.71,1742.52
2020-06-22,1750.03,1763.16,1743.29,1754.44
2020-06-23,1754.85,1771.16,1747.64,1768.38
2020-06-24,1768.13,1779.38,1760.92,1760.92
2020-06-25,1761.38,1769.03,1755.68,1763.72
2020-06-26,1765.32,1772,1747.72,1770.97
2020-06-29,1775.68,1775.8,1766.06,1772.92
2020-06-30,1772.85,1785.96,1765.44,1780.96
2020-07-01,1782.69,1789.24,1759.51,1770.15
2020-07-02,1769.51,1779.57,1757.75,1775.33
2020-07-03,1776.11,1777.21,1772.79,1775.725
2020-07-06,1776.455,1787.18,1770.35,1784.55
2020-07-07,1784.8,1797.51,1773.88,1794.85
2020-07-08,1795.56,1818,1791.83,1808.87
2020-07-09,1809.61,1815.97,1795.95,1803.56
2020-07-10,1802.42,1810.53,1794.19,1799.54
2020-07-13,1798.98,1813.36,1798.15,1802.69
2020-07-14,1803.11,1810.98,1791.74,1809.33
2020-07-15,1808.71,1814.69,1802.82,1810.26
2020-07-16,1810.38,1813.43,1794.68,1797.22
2020-07-17,1797.74,1811.97,1795.98,1810.12
2020-07-20,1809.11,1820.55,1805.93,1817.83
2020-07-21,1818.24,1843.52,1815.93,1841.77
2020-07-22,1841.55,1872.97,1840.8,1872.97
2020-07-23,1872.59,1898.44,1863.81,1887.175
2020-07-24,1887.39,1906.68,1881.11,1902.59
2020-07-27,1901.81,1945.67,1900.18,1940.18
2020-07-28,1942.45,1981.3,1907.23,1960.38
2020-07-29,1957.28,1980.78,1941.55,1969.48
2020-07-30,1970.99,1971.75,1939.76,1951.13
2020-07-31,1957.4,1982.77,1955.39,1974.2
2020-08-03,1979.6,1985.32,1960.77,1976.85
2020-08-04,1977.11,2019.94,1968.42,2016.51
2020-08-05,2019.35,2055.69,2009.84,2038.635
2020-08-06,2040.645,2069.74,2034.725,2065.35
2020-08-07,2065.72,2075.11,2015.71,2031.69
2020-08-10,2033.15,2049.77,2019.71,2027.6
2020-08-11,2028.33,2030.15,1901.7,1912.05
2020-08-12,1911.93,1949.39,1864.19,1916.125
2020-08-13,1915.15,1966.24,1912.7,1954.13
2020-08-14,1953.25,1962.22,1932.62,1943.52
2020-08-17,1947.1,1990.71,1930.18,1981.05
2020-08-18,1985.2,2015.68,1976.24,1997.75
2020-08-19,2002.66,2006.58,1925.04,1935.93
2020-08-20,1929.5,1955.38,1925.16,1947.87
2020-08-21,1947.37,1956.035,1911.92,1938.02
2020-08-24,1941.74,1961.67,1923.77,1928.845
2020-08-25,1928.575,1937.42,1914.39,1928.46
2020-08-26,1931.33,1954.81,1902.87,1954.2
2020-08-27,1955.57,1976.15,1910.76,1925.41
2020-08-28,1929.87,1973.64,1923.49,1963.49
2020-08-31,1965.48,1976.46,1954.62,1967.82
2020-09-01,1967.59,1992.47,1964.14,1970.42
2020-09-02,1969.84,1973.32,1932.65,1943.06
2020-09-03,1942.885,1951.1,1922.17,1930.675
2020-09-04,1931.63,1948.15,1916.51,1934.81
2020-09-07,1931.64,1941.08,1924.99,1928.385
2020-09-08,1929.81,1940.84,1906.76,1931.68
2020-09-09,1932.05,1950.82,1920.16,1946.79
2020-09-10,1946.16,1966.54,1941.54,1946.06
2020-09-11,1945.25,1954.81,1937.52,1942.445
2020-09-14,1940.06,1962.51,1937.62,1956.39
